product_id,product_name,category,supplier,current_stock,reorder_level,max_stock,cost_per_unit,selling_price,last_restock_date,units_sold_month,warehouse_location
PROD-001,Wireless Mouse,Electronics,TechCorp,150,50,300,25.00,49.99,2024-01-10,85,Warehouse-A
PROD-002,Office Chair,Furniture,ComfortPlus,45,20,100,120.00,249.99,2024-01-08,12,Warehouse-B
PROD-003,Notebook Set,Stationery,PaperWorks,300,100,500,3.50,12.99,2024-01-12,180,Warehouse-A
PROD-004,Coffee Beans,Food,BrewMaster,80,30,200,8.00,24.99,2024-01-15,65,Warehouse-C
PROD-005,USB Cable,Electronics,TechCorp,200,75,400,5.00,15.99,2024-01-11,120,Warehouse-A
PROD-006,Desk Lamp,Furniture,LightCo,25,15,60,35.00,79.99,2024-01-09,8,Warehouse-B
PROD-007,Printer Paper,Stationery,PaperWorks,400,150,800,15.00,29.99,2024-01-14,220,Warehouse-A
PROD-008,Energy Drink,Food,VitalBoost,180,60,300,2.50,4.99,2024-01-13,145,Warehouse-C
PROD-009,Webcam,Electronics,TechCorp,35,20,80,45.00,99.99,2024-01-07,18,Warehouse-A
PROD-010,Ergonomic Keyboard,Electronics,ErgoTech,60,25,120,55.00,129.99,2024-01-06,22,Warehouse-B
PROD-011,Standing Desk,Furniture,ComfortPlus,15,10,40,200.00,449.99,2024-01-05,5,Warehouse-B
PROD-012,Sticky Notes,Stationery,PaperWorks,500,200,800,1.50,4.99,2024-01-16,350,Warehouse-A
PROD-013,Protein Bar,Food,HealthySnacks,250,100,400,2.00,5.99,2024-01-14,180,Warehouse-C
PROD-014,Monitor Stand,Electronics,TechCorp,80,30,150,18.00,39.99,2024-01-13,45,Warehouse-A
PROD-015,Bookshelf,Furniture,WoodCraft,20,8,35,85.00,199.99,2024-01-04,3,Warehouse-B
PROD-016,Pens Set,Stationery,PaperWorks,600,250,1000,0.75,8.99,2024-01-17,420,Warehouse-A
PROD-017,Granola Bars,Food,NaturalFoods,320,120,500,1.80,3.99,2024-01-15,240,Warehouse-C
PROD-018,External Hard Drive,Electronics,DataStore,45,20,100,75.00,149.99,2024-01-12,28,Warehouse-A
PROD-019,Filing Cabinet,Furniture,OfficePro,12,5,25,150.00,299.99,2024-01-03,2,Warehouse-B
PROD-020,Highlighters,Stationery,ColorMark,400,150,600,0.90,6.99,2024-01-16,280,Warehouse-A
PROD-021,Instant Coffee,Food,QuickBrew,180,70,300,4.50,12.99,2024-01-14,125,Warehouse-C
PROD-022,Bluetooth Headphones,Electronics,AudioTech,75,25,150,60.00,129.99,2024-01-11,35,Warehouse-A
PROD-023,Conference Table,Furniture,MeetingSpace,8,3,15,800.00,1599.99,2024-01-02,1,Warehouse-B
PROD-024,Legal Pads,Stationery,PaperWorks,350,120,600,2.25,8.99,2024-01-15,245,Warehouse-A
PROD-025,Trail Mix,Food,HealthyMix,200,80,350,3.20,7.99,2024-01-13,140,Warehouse-C
PROD-026,Graphics Tablet,Electronics,DesignTech,30,15,60,120.00,249.99,2024-01-10,12,Warehouse-A
PROD-027,Executive Chair,Furniture,ComfortPlus,18,8,35,300.00,649.99,2024-01-07,4,Warehouse-B
PROD-028,Correction Tape,Stationery,FixIt,280,100,450,1.20,3.99,2024-01-16,195,Warehouse-A
PROD-029,Herbal Tea,Food,TeaTime,150,60,250,5.50,14.99,2024-01-14,95,Warehouse-C
PROD-030,Smartphone,Electronics,MobileTech,25,10,50,400.00,799.99,2024-01-09,15,Warehouse-A
PROD-031,Whiteboard,Furniture,BoardCorp,40,15,75,45.00,99.99,2024-01-11,25,Warehouse-B
PROD-032,Binders,Stationery,OfficeBind,200,80,350,4.50,12.99,2024-01-15,140,Warehouse-A
PROD-033,Chocolate Bars,Food,SweetTreats,300,120,500,1.50,3.99,2024-01-13,220,Warehouse-C
PROD-034,Tablet,Electronics,TabletPro,20,8,40,250.00,499.99,2024-01-08,12,Warehouse-A
PROD-035,Adjustable Desk,Furniture,FlexFurn,22,10,45,180.00,399.99,2024-01-06,8,Warehouse-B
PROD-036,Paper Clips,Stationery,SmallBits,800,300,1200,0.25,2.99,2024-01-17,560,Warehouse-A
