date,order_id,customer_id,product_name,category,quantity,unit_price,total_amount,,
15/01/2024,ORD-001,CUST-1001,Wireless,Headphones,Electronics,2,99.99,199.98,
15/01/2024,ORD-002,CUST-1002,Coffee,Maker,Appliances,1,149.5,149.5,
16/01/2024,ORD-003,CUST-1003,Running,Shoes,Sports,1,89.99,89.99,
16/01/2024,ORD-004,CUST-1001,Smartphone,Case,Electronics,3,24.99,74.97,
17/01/2024,ORD-005,CUST-1004,Yoga,Mat,Sports,2,39.99,79.98,
17/01/2024,ORD-006,CUST-1005,Bluetooth,Speaker,Electronics,1,79.99,79.99,
18/01/2024,ORD-007,CUST-1002,Kitchen,Scale,Appliances,1,29.99,29.99,
18/01/2024,ORD-008,CUST-1006,Protein,Powder,Health,1,49.99,49.99,
19/01/2024,ORD-009,CUST-1007,Laptop,Stand,Electronics,1,45.99,45.99,
19/01/2024,ORD-010,CUST-1003,Water,Bottle,Sports,2,19.99,39.98,
20/01/2024,ORD-011,CUST-1008,Gaming,Mouse,Electronics,1,69.99,69.99,
20/01/2024,ORD-012,CUST-1009,Protein,Bar,Health,12,4.99,59.88,
21/01/2024,ORD-013,CUST-1010,Tennis,Racket,Sports,1,129.99,129.99,
21/01/2024,ORD-014,CUST-1004,Air,Fryer,Appliances,1,199.99,199.99,
22/01/2024,ORD-015,CUST-1011,Wireless,Charger,Electronics,1,39.99,39.99,
22/01/2024,ORD-016,CUST-1012,Multivitamins,Health,2,29.99,59.98,,
23/01/2024,ORD-017,CUST-1005,Basketball,Sports,1,24.99,24.99,,
23/01/2024,ORD-018,CUST-1013,Blender,Appliances,1,89.99,89.99,,
24/01/2024,ORD-019,CUST-1014,Tablet,Stand,Electronics,2,19.99,39.98,
24/01/2024,ORD-020,CUST-1007,Pre-Workout,Health,1,39.99,39.99,,
25/01/2024,ORD-021,CUST-1015,Soccer,Ball,Sports,1,34.99,34.99,
25/01/2024,ORD-022,CUST-1001,Food,Processor,Appliances,1,249.99,249.99,
26/01/2024,ORD-023,CUST-1016,Smart,Watch,Electronics,1,299.99,299.99,
26/01/2024,ORD-024,CUST-1017,Fish,Oil,Health,1,24.99,24.99,
27/01/2024,ORD-025,CUST-1003,Dumbbells,Sports,1,79.99,79.99,,
27/01/2024,ORD-026,CUST-1018,Espresso,Machine,Appliances,1,399.99,399.99,
28/01/2024,ORD-027,CUST-1019,Noise,Cancelling,Headphones,Electronics,1,199.99,199.99
28/01/2024,ORD-028,CUST-1020,Creatine,Health,1,34.99,34.99,,
29/01/2024,ORD-029,CUST-1006,Resistance,Bands,Sports,1,29.99,29.99,
29/01/2024,ORD-030,CUST-1021,Stand,Mixer,Appliances,1,299.99,299.99,
30/01/2024,ORD-031,CUST-1008,USB-C,Hub,Electronics,1,49.99,49.99,
30/01/2024,ORD-032,CUST-1022,Probiotics,Health,1,44.99,44.99,,
31/01/2024,ORD-033,CUST-1009,Exercise,Bike,Sports,1,399.99,399.99,
31/01/2024,ORD-034,CUST-1023,Instant,Pot,Appliances,1,129.99,129.99,
01/02/2024,ORD-035,CUST-1024,Mechanical,Keyboard,Electronics,1,149.99,149.99,
01/02/2024,ORD-036,CUST-1012,Whey,Protein,Health,1,59.99,59.99,
